id	Kanji	JLPT-test	"Name of Radical"	"Translation of On"	"Translation of Kun"
1992	用	4	Mochiiru	"business, work; function; errand; engagement; use, service; expenses; call of nature. for, used for "	"use, adopt (a method), employ"
1995	洋	4	"Mizu, Sanzui, Shitamizu"	"ocean, sea, channel. foreign, Western, European"	-
2012	曜	4	"Nichi, Nichihen"	"day of the week; light; shining"	-
2022	来	5	"Ki, Kihen"	"come. since (last month); for (ten days). next (year)"	"come, arrive; be due to; next, forthcoming. cause, bring about, produce. come to hand, approach; call on; come on (rain); set in, be due; become, grow, get; come from; be caused by; derive from "
2038	理	4	"Tama, Oo"	"reason, justice, truth, principle"	-
2045	立	4	Tatsu	standing	"stand, rise; rouse oneself; be built, be established; go up (smoke); burn out; depart; take flight; run high (waves); stick into; be worked out; be maintained; save (face); establish oneself, begin life; spread (rumors); shut (door); be active; open (markets); be excited; come (seasons); makes (a total of thirty). stand something up, set up, raise; put up; set on edge; prick up (one's ears); build, erect; close (a door); establish; institute, enact; lay (plans); map out; set forth, lay down (a proposition); formulate; render (services), perform; look up to, respect; be loyal to; do justice to; circulate (rumors); have (an aim); establish (oneself), make (a success); support (oneself); make (an oath); sharpen, set (a saw); put up (a candidate); make (tea); save (face) "
2057	旅	4	"Hoo, Hoohen"	"journey; go around"	journey
2063	料	4	Tomasu	"charge, rate, fee; allowance; materials; measuring"	-
2074	力	4	Chikara	"strain, bear up, exert one's strength; swagger, bluff, boast. strength. power"	"strength, energy, force, might, power; agency; authority, influence; vigor; stress, emphasis; exertions, endeavors; efficacy; help, support, good offices; ability, faculty, capability, attainment; means, resources "
2125	六	5	Hachi	six	six
2130	話	5	"Gon, Gonben"	"talk, speak, converse; tell; explain "	"talk, speak, converse; tell; explain. chat, conversation; story; rumor; news; consultation, negotiations; facts, reasons "
