id	Kanji	JLPT-test	"Name of Radical"	"Translation of On"	"Translation of Kun"
745	山	5	"Yama, Yamahen"	"mount, mountain"	"mountain, hill, height, knoll; heap, pile; crown (of a hat); seam (of an obi); speculation, adventure; climax, acme, crisis; forest; mine "
760	子	5	"Ko, Kohen"	"viscount, master; child; male; fruit; seed. offspring; the young (of animals) "	"child, offspring; the young (of animals) "
762	止	4	Tomeru	"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position"	"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position. check; allay (pain); fasten; turn off; detain; forbid to do; dissuade "
764	仕	4	"Hito, Ninben, Hitoyane"	"official; civil service"	"serve, work for"
767	四	5	Kunigamae	four	four
771	死	4	Kabanehen	death	die
776	私	4	"Nogi, Nogihen"	"I; private affairs"	"I, myself, private (affairs)"
777	使	4	"Hito, Ninben, Hitoyane"	"use; messenger"	"use; handle, manipulate; employ; need, want; spend, consume; speak (English); practice (fencing); take (one's lunch); circulate (bad money)"
779	始	4	"Onna, Onnahen"	beginning	"begin, start, open; date from; (season) sets in; arise, break out; originate in. begin, open, start, originate, inaugurate, initiate "
780	姉	4	"Onna, Onnahen"	"elder sister"	"elder sister"
785	思	4	"Kokoro, Risshinben, Shitagokoro"	"think, believe, judge, esteem; consider, realize; feel like; regard as; anticipate; imagine, suppose, guess; mistake for; recall; intend; desire; love, care for, yearn after; wonder; suspect "	"think, believe, judge, esteem; consider, realize; feel like; regard as; anticipate; imagine, suppose, guess; mistake for; recall; intend; desire; love, care for, yearn after; wonder; suspect "
790	紙	4	"Ito, Itohen"	paper	paper
797	試	4	"Gon, Gonben"	testing	"try, attempt. experiment, test, sample "
807	字	4	"Ko, Kohen"	"character, letter, word, handwriting"	"section of a village"
810	耳	4	"Mimi, Mimihen"	ear	"ear; edge, border; loop; selvage; bread crusts"
811	自	4	Mizukara	oneself	"oneself, personally"
814	事	4	Haneboo	"thing, matter"	"thing, matter, fact, circumstances, business, reason, experience"
817	持	4	Tehen	"hold, entertain, maintain, observe (principles)"	"hold, take, have, possess; carry; maintain; have charge of; wear, last long; pay; bear (a grudge)"
818	時	5	"Nichi, Nichihen"	"hour, o'clock, time; Buddhist sect originating in the thirteenth century "	"time, hour, moment, occasion; season; opportunity; the times; tense"
829	七	5	Ichi	seven	seven
832	室	4	Ukanmuri	"room, apartment, compartment, chamber"	"greenhouse; (ice) house; cellar"
838	質	4	"Kai, Kaihen"	"substance, matter, quality, temperament. hostage, pawn, pledge, hock "	-
841	写	4	Wakanmuri	"be photographed; be projected (on a screen); (light or shadows) fall on"	"be photographed; be projected (on a screen); (light or shadows) fall on. copy, transcribe, duplicate, reproduce, trace; describe, picture, photograph"
842	社	4	"Shimesu, Shimesuhen"	"Shinto shrine; association; firm, company, office "	"Shinto shrine"
843	車	5	"Kuruma, Kurumahen"	"vehicle, a vehicle load"	"wheel; vehicle, carriage, wagon; cart, wheelbarrow; go-cart; jinricksha; van, automobile"
845	者	4	Oikanmuri	"person; thing"	"person, somebody"
856	借	4	"Hito, Ninben, Hitoyane"	borrowing	"borrow; have a loan; hire, rent "
863	手	4	Te	"hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury"	"hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury"
864	主	4	Ten	"Lord; lord, master, employer; aim; main thing "	"owner; master, husband; lover; a god; you. main  "
891	秋	4	"Nogi, Nogihen"	autumn	autumn
895	終	4	"Ito, Itohen"	end	"end, terminate, adjourn, be over; die. finish, complete"
897	習	4	Hane	"learn, be taught, take lessons, practice"	"learn, be taught, take lessons, practice"
898	週	4	Shinnyoo	week	-
901	集	4	Furutori	"collection, gathering"	"meet, assemble, congregate; swarm, flock or gather together; be collected, be gathered together; converge. gather, collect; focus (something on) "
907	十	5	Juu	ten	ten
910	住	4	"Hito, Ninben, Hitoyane"	"dwelling, living"	"live, reside, inhabit"
912	重	4	"Sato, Satohen"	"nest of boxes"	"pile up, heap up, add, repeat. be piled; lie on one another. heavy; massive; serious; important; severe; oppressed. double. -fold, ply  "
926	出	5	Ukebako	"born of; appearing from; going out; sending out"	"appear, come out, emerge; haunt, infest; be found, get back; be served (meals); lead to, enter; find (oneself) at; come out (as a result); leave, go out, get out; attend, appear; work (at); participate; launch (into); run (for an office); be published; sell; depart; graduate; break out, originate; be raised, be produced; issue from, be traced to, derive from, stem from; protrude, stick out; exceed; interfere; intrude. put out, take out, pull out, stick out; draw (a gun); stretch out, extend; save (from a fire); expose, bare; exhibit; send, forward, post; publish; hoist (a flag); hang out; present, send in, tender, submit; serve; run (extra trains); produce; pay, contribute; invest; advance (money)"
930	春	4	"Nichi, Nichihen"	spring	"spring, springtime"
946	書	5	Hirabi	"handwriting; letter, note; book"	"write, compose; draw, paint "
952	女	5	"Onna, Onnahen"	"woman, girl, daughter"	"woman, female, sweetheart, girl"
959	小	5	Shoo	"smallness; minor; small. humility prefix, small "	"small, little, diminutive, minute, fine, trivial. short; pretty; petty; nearly. nice"
961	少	4	Shoo	"few; small; young"	"a small quantity, a little; a few; something; a little while; a short distance. few, a little, scarce, insufficient, seldom "
1009	上	5	Ichi	"top; best; first volume. upper part; government. aboard a ship or vehicle; from the standpoint of; as a matter of (fact). governmental; imperial; best; high class; going up; presenting; showing"	"up, upper part, top, summit; surface; far better; higher; (in) authority; as far as…is concerned; besides; after; emperor, sovereign; upon (examination); influence of (liquor); lord, shogun; superior. rise, go up; climb up; advance, appreciate; be offered; accrue; be finished; (expenses) come to; go bankrupt; begin spinning (cocoons); be caught; get ruffled; eat, drink; die; weaken (as a battery); let up (rain). raise, elevate; fly (kites); praise; increase, promote, elevate; vomit; usher in, admit; send (to school); offer; present, leave with; finish; arrange (expenses); observe, perform; quote, mention, give (examples); bear (a child); improve (talents); do up (the hair); arrest; engage; fry; (rains) stop. ascend, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda). record; bring up (a matter); serve (food); send some out (from Kyoto). head; upper part; upper stream; emperor; a superior; upper part of the body; the above. upward, outer"
1020	場	4	"Tsuchi, Tsuchihen"	"place, grounds, links, range, course, track, ring"	"place, site; space, seat; scene; occasion, situation"
1029	色	4	Iro	color	"color, tint, tinge; complexion; countenance, look; sensual pleasure; sweetheart; charms; fall colors; embellishment; slight concession; kind"
1031	食	5	"Shoku, Shokuhen"	"food, provisions; eating, meal; appetite"	"eat; subsist on; support oneself; consume; get (a scolding); encroach; bite at, gnaw at; (shoes) pinch; be cheated. drink; receive (a blow)"
1041	心	4	"Kokoro, Risshinben, Shitagokoro"	"heart, mind, spirit; motive, sense (of duty); padding; wick; core; marrow; vitality "	"mind, spirit; mentality; idea, thought; heart, feeling; wholeheartedness, sincerity, sympathy; attention; interest, care; will; intention; taste, mood; true meaning (of a poem) "
1056	真	4	"Me, Mehen"	"truth; reality; genuineness; Buddhist sect originating in the thirteenth century"	"just, right, due (east); pure, genuine, true"
1065	新	4	"Kin, Onozukuri"	"newness, novelty. new, modern, novel, fresh, neo-"	"new, novel, fresh, recent, modern"
1069	親	4	Miru	"intimacy; parents; relative"	"parent; dealer (in card games); banker (in gambling). intimate, familiar, friendly. be intimate with; have a liking for; take habitually"
1070	人	5	"Hito, Ninben, Hitoyane"	"man, person, people"	"man, human being, mankind, person, people; character, personality; true man; man of talent; adult; other people; messenger; visitor"
